Kp,5,Ki,0.02,Kd,150
time,m_BallPos(0),m_BallPos(1),m_XCtrl.Output,m_YCtrl.Output,XEnc,YEnc
2644.33,-55.8235,74.1414,264.119,-1500,268,-1497
2650.33,-55.8235,74.1414,264.119,-1500,264,-1497
2656.25,-55.8235,74.1414,264.119,-1500,263,-1497
2662.2,-55.8235,74.1414,264.119,-1500,262,-1497
2668.33,-55.8235,74.1414,264.119,-1500,262,-1498
2674.15,-55.8235,74.1414,264.119,-1500,262,-1498
2680.25,-55.8235,74.1414,264.119,-1500,262,-1498
2686.15,-55.8235,74.1414,264.119,-1500,262,-1498
2692.25,-55.8235,74.1414,264.119,-1500,262,-1498
2698.16,-55.8235,74.1414,264.119,-1500,262,-1498
2704.19,-46.9601,60.6361,218.587,-1500,262,-1498
2710.26,-46.9601,60.6361,218.587,-1500,260,-1498
2716.22,-46.9601,60.6361,218.587,-1500,248,-1498
2722.23,-46.9601,60.6361,218.587,-1500,230,-1499
2728.15,-46.9601,60.6361,218.587,-1500,221,-1499
2734.14,-46.9601,60.6361,218.587,-1500,219,-1499
2740.23,-46.9601,60.6361,218.587,-1500,218,-1499
2746.18,-46.9601,60.6361,218.587,-1500,217,-1499
2752.23,-46.9601,60.6361,218.587,-1500,217,-1499
2758.36,-46.9601,60.6361,218.587,-1500,216,-1499
2764.18,-46.9601,60.6361,218.587,-1500,216,-1499
2770.12,-46.9601,60.6361,218.587,-1500,216,-1499
2776.11,-46.9601,60.6361,218.587,-1500,216,-1499
2782.27,-38.1984,43.6901,174.164,-1500,216,-1499
2788.18,-38.1984,43.6901,174.164,-1500,214,-1499
2794.18,-38.1984,43.6901,174.164,-1500,203,-1499
2800.11,-38.1984,43.6901,174.164,-1500,187,-1499
2806.11,-38.1984,43.6901,174.164,-1500,179,-1499
2812.18,-38.1984,43.6901,174.164,-1500,176,-1499
